Date,Open,High,Low,Close,Volume
2024-01-02,138.25,139.95,136.75,138.62,22712000
2024-02-01,142.10,143.88,140.25,142.63,18450000
2024-03-01,137.95,139.22,136.80,138.08,21980000
2024-04-01,153.50,156.10,152.90,155.49,27430000
2024-05-01,167.80,170.20,166.40,168.99,25170000
2024-06-03,172.25,174.85,171.10,173.96,23890000
2024-07-01,183.10,186.45,182.60,185.82,29560000
2024-08-01,171.50,174.20,170.80,172.98,26340000
2024-09-03,163.75,166.30,162.90,164.76,22810000
2024-10-01,164.90,168.10,163.75,166.74,24150000
2024-11-01,168.20,172.55,167.80,170.05,25680000
2024-12-02,171.90,174.80,170.95,173.92,21940000
